CREATE TABLE `Customers` (`CustomerID` BIGINT NOT NULL, `FirstName` TEXT, `MiddleInitial` TEXT, `LastName` TEXT, PRIMARY KEY (`CustomerID`));
CREATE TABLE `Employees` (`EmployeeID` BIGINT NOT NULL, `FirstName` TEXT, `MiddleInitial` TEXT, `LastName` TEXT, PRIMARY KEY (`EmployeeID`));
CREATE TABLE `Products` (`ProductID` BIGINT NOT NULL, `Name` TEXT, `Price` DOUBLE, PRIMARY KEY (`ProductID`));
CREATE TABLE `Sales` (`SalesID` BIGINT NOT NULL, `SalesPersonID` BIGINT, `CustomerID` BIGINT, `ProductID` BIGINT, `Quantity` BIGINT, PRIMARY KEY (`SalesID`));
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (46, 'Aaron', 'M', 'Kumar');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (67, 'Abby', 'J', 'Kapoor');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (83, 'Abigail', NULL, 'Garcia');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (105, 'Abigail', NULL, 'Walker');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (111, 'Abigail', 'C', 'Brooks');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (136, 'Abigail', 'L', 'Diaz');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (137, 'Abigail', 'L', 'Flores');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (179, 'Adam', 'A', 'Collins');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (216, 'Adrian', 'C', 'James');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (250, 'Adriana', 'S', 'Martinez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (286, 'Aidan', 'B', 'Patterson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (291, 'Aidan', 'L', 'Coleman');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (294, 'Aidan', 'R', 'Bryant');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (299, 'Aimee', NULL, 'Li');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (303, 'Aimee', NULL, 'Wu');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (316, 'Alan', NULL, 'Brewer');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (322, 'Alan', NULL, 'Lin');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (382, 'Alberto', 'L', 'Serrano');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (383, 'Alberto', 'M', 'Sanz');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (390, 'Aldeen', 'J', 'Gallagher');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (402, 'Alejandro', NULL, 'Wang');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (452, 'Alex', NULL, 'Nelson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (453, 'Alex', NULL, 'Parker');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (459, 'Alex', 'B', 'Watson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (462, 'Alex', 'C', 'Hill');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (480, 'Alex', 'M', 'Carter');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (484, 'Alex', 'M', 'Stewart');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (506, 'Alexa', 'D', 'Stewart');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (519, 'Alexander', 'E', 'Harris');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (532, 'Alexander', 'R', 'Jackson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (565, 'Alexandra', NULL, 'Roberts');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (581, 'Alexandra', 'B', 'Ramirez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (597, 'Alexandra', 'E', 'Wright');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (599, 'Alexandra', 'H', 'Brooks');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (614, 'Alexandra', 'L', 'Perry');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (628, 'Alexandra', 'W', 'Cox');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (631, 'Alexandria', NULL, 'Alexander');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (667, 'Alexandria', 'L', 'Foster');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (681, 'Alexia', NULL, 'Powell');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (687, 'Alexia', 'E', 'Coleman');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (715, 'Alexis', NULL, 'Washington');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (717, 'Alexis', 'A', 'Bryant');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (723, 'Alexis', 'D', 'Wilson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (734, 'Alexis', 'L', 'Smith');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (808, 'Alisha', NULL, 'Zheng');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (815, 'Alisha', 'D', 'Nara');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (861, 'Alison', 'W', 'Deng');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (878, 'Allen', 'L', 'Rodriguez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (896, 'Allison', NULL, 'Parker');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (903, 'Allison', NULL, 'Scott');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (925, 'Allison', 'R', 'Stewart');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (926, 'Allison', 'R', 'Wright');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (930, 'Alvaro', NULL, 'De Matos Miranda Filho');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (933, 'Alvin', NULL, 'Goldstein');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (947, 'Alvin', NULL, 'Xu');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (952, 'Alvin', 'A', 'Nara');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (960, 'Alvin', 'E', 'She');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (984, 'Alyssa', NULL, 'Price');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1002, 'Alyssa', 'C', 'Gray');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1003, 'Alyssa', 'C', 'Patterson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1043, 'Amanda', NULL, 'Baker');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1052, 'Amanda', NULL, 'Flores');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1083, 'Amanda', 'A', 'Mitchell');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1088, 'Amanda', 'E', 'Ramirez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1120, 'Amber', NULL, 'Phillips');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1131, 'Amber', 'L', 'Young');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1144, 'Amy', NULL, 'Recker');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1171, 'Ana', NULL, 'Long');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1205, 'Andre', 'M', 'Sara');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1228, 'Andrea', NULL, 'Ward');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1273, 'Andres', 'T', 'Shan');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1274, 'Andrés', NULL, 'Anand');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1283, 'Andrew', 'A', 'Moore');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1319, 'Andy', NULL, 'Vazquez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1322, 'Andy', 'F', 'Martin');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1326, 'Andy', 'M', 'Rubio');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1342, 'Angel', NULL, 'Rogers');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1363, 'Angel', 'L', 'Turner');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1446, 'Anibal', NULL, 'Sousa');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1464, 'Ann', 'D', 'Prasad');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1470, 'Ann', 'R', 'Evans');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1504, 'Anna', 'A', 'Albright');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1505, 'Anna', 'A', 'Clark');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1523, 'Anna', 'K', 'Bell');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1529, 'Anna', 'L', 'Murphy');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1548, 'Anne', NULL, 'Gill');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1563, 'Anne', 'R', 'Ramos');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1565, 'Anne', 'T', 'Rubio');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1590, 'Anthony', 'M', 'Moore');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1622, 'April', NULL, 'Jai');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1636, 'April', 'R', 'Nath');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1653, 'Ariana', 'F', 'Rogers');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1669, 'Arianna', NULL, 'Hayes');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1682, 'Arianna', 'A', 'Torres');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1691, 'Arianna', 'E', 'Ross');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1709, 'Armando', NULL, 'Gutierrez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1756, 'Arthur', 'A', 'Gutierrez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1762, 'Arthur', 'D', 'Sara');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1800, 'Arturo', 'A', 'Wang');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1850, 'Ashley', NULL, 'Coleman');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1889, 'Ashley', 'M', 'Harris');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1897, 'Ashley', 'S', 'Wilson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1907, 'Audrey', NULL, 'Ruiz');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1920, 'Audrey', 'L', 'Alvarez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1936, 'Austin', NULL, 'Sharma');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1940, 'Austin', NULL, 'Williams');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1959, 'Austin', 'L', 'Robinson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1969, 'Austin', 'R', 'Powell');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (1984, 'Autumn', 'A', 'Guo');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2001, 'Bailey', NULL, 'Cook');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2009, 'Bailey', NULL, 'Rivera');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2025, 'Bailey', 'E', 'Bell');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2043, 'Barbara', NULL, 'Beck');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2045, 'Barbara', NULL, 'Decker');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2048, 'Barbara', NULL, 'Goel');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2071, 'Barbara', 'A', 'Liu');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2093, 'Barry', NULL, 'Arun');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2138, 'Benjamin', NULL, 'Ross');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2143, 'Benjamin', NULL, 'Wilson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2146, 'Benjamin', 'A', 'Lal');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2158, 'Benjamin', 'D', 'Washington');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2166, 'Benjamin', 'H', 'Sharma');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2167, 'Benjamin', 'I', 'Simmons');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2194, 'Beth', 'A', 'Srini');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2195, 'Beth', 'A', 'Vazquez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2210, 'Bethany', NULL, 'Chande');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2219, 'Bethany', 'A', 'Lal');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2227, 'Bethany', 'K', 'Chander');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2232, 'Betty', 'J', 'Potts');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2275, 'Billy', 'M', 'Dominguez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2279, 'Billy', 'R', 'Gomez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2281, 'Bjorn', 'M', 'Rettig');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2289, 'Blake', NULL, 'Campbell');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2291, 'Blake', NULL, 'Coleman');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2307, 'Blake', NULL, 'Patterson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2343, 'Blake', 'M', 'Ross');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2372, 'Bobby', 'D', 'Saunders');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2382, 'Bonnie', NULL, 'Pal');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2388, 'Bonnie', NULL, 'She');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2405, 'Bonnie', 'W', 'Tang');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2418, 'Brad', 'D', 'Xie');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2428, 'Brad', 'S', 'Pritchett');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2514, 'Brandon', 'J', 'Walker');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2523, 'Brandon', 'R', 'Foster');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2532, 'Brandy', NULL, 'Malhotra');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2575, 'Brenda', 'M', 'Martinez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2590, 'Brendan', 'A', 'Rai');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2596, 'Brendan', 'L', 'Xu');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2606, 'Brent', NULL, 'Wu');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2609, 'Brent', NULL, 'Zhao');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2623, 'Brett', NULL, 'Lopez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2643, 'Brett', 'V', 'Arun');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2658, 'Brian', 'B', 'James');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2672, 'Brian', 'R', 'Goldstein');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2801, 'Brittany', NULL, 'Perry');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2837, 'Bronson', 'R', 'Jacobs');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2887, 'Bruce', 'E', 'Fernandez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2921, 'Bryan', 'A', 'Walton');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2937, 'Bryant', 'C', 'Arun');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2956, 'Bryce', NULL, 'Peterson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2960, 'Bryce', NULL, 'Rogers');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2967, 'Bryce', 'H', 'Ramirez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2990, 'Caitlin', NULL, 'Bailey');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (2998, 'Caitlin', NULL, 'Stewart');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3009, 'Caitlin', 'M', 'Sanchez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3014, 'Caleb', NULL, 'Campbell');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3017, 'Caleb', NULL, 'Foster');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3025, 'Caleb', NULL, 'Nelson');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3038, 'Caleb', 'A', 'Gonzales');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3059, 'Caleb', 'S', 'Diaz');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3063, 'Caleb', 'W', 'Hill');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3103, 'Cameron', 'A', 'Hughes');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3135, 'Cameron', 'W', 'Butler');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3180, 'Candy', 'L', 'Spoon');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3196, 'Cara', 'L', 'Cai');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3202, 'Carl', NULL, 'Anand');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3213, 'Carl', 'C', 'Lal');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3265, 'Carlos', NULL, 'Morgan');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3305, 'Carly', NULL, 'Shan');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3313, 'Carly', 'E', 'Deng');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3320, 'Carly', 'R', 'Kumar');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3342, 'Carol', NULL, 'Philips');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3351, 'Carol', 'C', 'Wright');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3353, 'Carol', 'D', 'Martinez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3375, 'Caroline', NULL, 'Coleman');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3411, 'Carolyn', NULL, 'Torres');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3416, 'Carolyn', 'A', 'Martinez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3446, 'Carrie', NULL, 'Vazquez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3532, 'Cassandra', NULL, 'Lopez');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3582, 'Cassie', NULL, 'Nath');
INSERT INTO `Customers` (`CustomerID`, `FirstName`, `MiddleInitial`, `LastName`) VALUES (3587, 'Cassie', 'A', 'Raji');
